COD_IBGE,MUNICIPIO,UF,REGIAO_TURISTICA,CLUSTER,QUANTIDADE_EMPREGOS,QUANTIDADE_ESTABELECIMENTOS,EMPREGOS_POR_ESTABELECIMENTO,VISITAS_INTERNACIONAIS_EST,VISITAS_NACIONAIS_EST,TOTAL_VISITAS_ESTIMADAS,ARRECADACAO,PIB_PER_CAPITA_R$,POPULACAO_2019
3115102,Cássia,MG,Nascentes das Gerais e Canastra,D,3.0,2,1.5,258.0,10109.0,10367.0,0.0,19018.52,17740
3117702,Conceição do Rio Verde,MG,Águas,D,2.0,1,2.0,233.0,1688.0,1921.0,0.0,15957.67,13638
3122207,Divinolândia de Minas,MG,Trilhas do Rio Doce,D,0.0,0,,223.0,4335.0,4558.0,0.0,9121.61,7571
3123601,Elói Mendes,MG,Lago de Furnas,D,10.0,3,3.33,91.0,0.0,91.0,0.0,18715.17,28076
3134905,Jacutinga,MG,Malhas do Sul de Minas,D,31.0,5,6.2,628.0,0.0,628.0,0.0,31219.28,25979
3200300,Alfredo Chaves,ES,Costa e da Imigração,D,4.0,2,2.0,0.0,10907.0,10907.0,0.0,24625.87,14601
3201159,Brejetuba,ES,Montanhas Capixabas,D,3.0,2,1.5,0.0,0.0,0.0,0.0,14818.75,12404
3201407,Castelo,ES,Montanhas Capixabas,D,30.0,5,6.0,278.0,12031.0,12309.0,0.0,23799.44,37534
3301207,Carmo,RJ,CAMINHOS DA SERRA,D,5.0,3,1.67,0.0,27911.0,27911.0,0.0,24928.31,18895
3302858,Mesquita,RJ,BAIXADA VERDE,D,2.0,1,2.0,0.0,5782.0,5782.0,0.0,13166.48,176103
3501004,Altinópolis,SP,Alta Mogiana,D,17.0,6,2.83,140.0,4510.0,4650.0,0.0,33073.73,16184
4123303,Santa Cruz de Monte Castelo,PR,Corredores das Águas,D,5.0,1,5.0,0.0,0.0,0.0,0.0,35262.52,7800
4127957,Tupãssi,PR,Riquezas do Oeste,D,0.0,0,,0.0,0.0,0.0,0.0,40264.65,8124
4206603,Guarujá do Sul,SC,Caminhos da Fronteira,D,3.0,1,3.0,626.0,8756.0,9382.0,0.0,32310.17,5160
5203104,Baliza,GO,Região Turística Vale do Araguaia,D,1.0,1,1.0,0.0,9134.0,9134.0,0.0,15156.79,5138
2404408,Grossos,RN,Polo Costa Branca,D,0.0,0,,0.0,0.0,0.0,0.0,15926.58,10383
2409308,Patu,RN,Polo Serrano,D,0.0,0,,0.0,15852.0,15852.0,0.0,10975.1,12755
2410207,Portalegre,RN,Polo Serrano,D,10.0,1,10.0,0.0,3499.0,3499.0,0.0,8181.55,7867
2612901,São Benedito do Sul,PE,ÁGUAS DA MATA SUL,D,9.0,1,9.0,0.0,1844.0,1844.0,0.0,6490.85,15895
2615003,Taquaritinga do Norte,PE,MODA E ECOTURISMO,D,3.0,2,1.5,0.0,903.0,903.0,0.0,10372.42,28775
3120839,Cuparaque,MG,Trilhas do Rio Doce,D,0.0,0,,182.0,0.0,182.0,0.0,11426.24,4982
3122470,Dom Bosco,MG,Noroeste das Gerais e Alto Paranaíba,D,0.0,0,,0.0,6699.0,6699.0,0.0,13548.92,3677
3124203,Espera Feliz,MG,Pico da Bandeira,D,15.0,4,3.75,400.0,29043.0,29443.0,0.0,17062.0,24951
3126208,Formoso,MG,Urucuia Grande Sertão,D,0.0,0,,0.0,0.0,0.0,0.0,19292.5,9562
3130606,Inconfidentes,MG,Malhas do Sul de Minas,D,2.0,1,2.0,0.0,0.0,0.0,0.0,12967.7,7328
3305604,Silva Jardim,RJ,CAMINHOS DA MATA,D,1.0,2,0.5,245.0,0.0,245.0,0.0,22724.23,21774
4112751,Jesuítas,PR,Riquezas do Oeste,D,3.0,1,3.0,258.0,29942.0,30200.0,0.0,37960.52,8412
4127205,Terra Boa,PR,"Ecoaventuras, Histórias e Sabores",D,1.0,1,1.0,120.0,9881.0,10001.0,0.0,27304.94,17094
4301107,Arroio dos Ratos,RS,Carbonífera,D,1.0,1,1.0,0.0,1125.0,1125.0,0.0,18980.09,14151
4302006,Barros Cassal,RS,Alto da Serra do Botucaraí,D,1.0,1,1.0,77.0,0.0,77.0,0.0,18121.7,11199
1718840,Sandolândia,TO,Ilha do Bananal,D,1.0,1,1.0,0.0,0.0,0.0,0.0,23243.14,3375
2305803,Ipu,CE,Chapada da Ibiapaba,D,1.0,3,0.33,54.0,6411.0,6465.0,0.0,10630.67,41964
2306702,Jaguaretama,CE,Vale do Jaguaribe,D,0.0,0,,0.0,2657.0,2657.0,0.0,9383.55,18162
2923902,Pau Brasil,BA,Costa do Cacau,D,0.0,0,,0.0,3756.0,3756.0,0.0,8938.41,9831
3145307,Novo Cruzeiro,MG,Pedras Preciosas,D,1.0,1,1.0,0.0,30286.0,30286.0,0.0,8823.03,31331
3171600,Virgem da Lapa,MG,Vale do Jequitinhonha,D,1.0,2,0.5,0.0,11366.0,11366.0,0.0,8668.19,13752
4207684,Ipuaçu,SC,Grande Oeste,D,3.0,1,3.0,0.0,0.0,0.0,0.0,33683.34,7514
4302709,Butiá,RS,Carbonífera,D,19.0,3,6.33,1462.0,0.0,1462.0,0.0,22615.77,20941
4321808,Três de Maio,RS,Rota do Rio Uruguai,D,20.0,3,6.67,376.0,14032.0,14408.0,0.0,46448.67,23906
2303956,Chorozinho,CE,LITORAL LESTE,E,0.0,0,,0.0,0.0,0.0,0.0,14198.96,20264
2512507,Queimadas,PB,Agreste ,D,0.0,0,,0.0,14505.0,14505.0,0.0,11580.32,43967
2614204,Sirinhaém,PE,"HISTÓRICA, DOS ARRECIFES E MANGUEZAIS",D,2.0,1,2.0,252.0,5816.0,6068.0,0.0,11367.75,45865
3113701,Carlos Chagas,MG,Pedras Preciosas,D,16.0,5,3.2,0.0,2681.0,2681.0,0.0,19340.96,18837
3140506,Martinho Campos,MG,Lago de Três Marias,D,9.0,2,4.5,182.0,8671.0,8853.0,0.0,25913.95,13388
3142106,Miradouro,MG,Serra do Brigadeiro,D,5.0,1,5.0,0.0,8661.0,8661.0,0.0,13219.84,10754
3305406,Sapucaia,RJ,CAMINHOS COLONIAIS,D,20.0,5,4.0,207.0,0.0,207.0,0.0,41360.86,18228
3553302,Tambaú,SP,Região Turística Histórias e Vales,D,1.0,1,1.0,120.0,17011.0,17131.0,0.0,24622.1,23207
4128559,Vera Cruz do Oeste,PR,Riquezas do Oeste,D,2.0,1,2.0,0.0,0.0,0.0,0.0,27934.28,8521
4301008,Arroio do Meio,RS,Vale do Taquari,D,3.0,1,3.0,165.0,34317.0,34482.0,0.0,60183.67,20805
4305405,Chiapetta,RS,Rota do Yucumã,D,0.0,0,,0.0,14888.0,14888.0,0.0,54257.77,3756
4305587,Colinas,RS,Vale do Taquari,D,0.0,0,,0.0,6776.0,6776.0,0.0,26910.45,2438
4305959,Cotiporã,RS,Uva e Vinho,D,0.0,0,,0.0,0.0,0.0,0.0,40852.06,3853
4311700,Machadinho,RS,Rota das Araucárias,D,6.0,2,3.0,0.0,0.0,0.0,0.0,33590.76,5445
4312476,Morro Reuter,RS,Vale Germânico,D,2.0,1,2.0,92.0,0.0,92.0,0.0,32825.74,6407
4313359,Nova Roma do Sul,RS,Uva e Vinho,D,2.0,2,1.0,0.0,1125.0,1125.0,0.0,48718.97,3689
4314423,Picada Café,RS,Hortênsias,D,4.0,2,2.0,0.0,3026.0,3026.0,0.0,56938.63,5742
4318424,São João da Urtiga,RS,Rota das Araucárias,D,0.0,0,,0.0,10609.0,10609.0,0.0,28932.19,4657
4322103,Tucunduva,RS,Rota do Rio Uruguai,D,0.0,0,,747.0,0.0,747.0,0.0,39570.96,5678
5220009,São João dAliança,GO,Região Turística da Chapada dos Veadeiros,D,17.0,3,5.67,215.0,4567.0,4782.0,0.0,28849.37,13740
1718659,Rio da Conceição,TO,Serras Gerais,D,0.0,0,,0.0,0.0,0.0,0.0,10876.26,2130
2105104,Icatu,MA,Polo Munin,D,0.0,0,,0.0,7432.0,7432.0,0.0,5987.66,27113
2111078,São João do Soter,MA,Polo Cocais,D,0.0,0,,0.0,10601.0,10601.0,0.0,5890.52,18543
2707305,Porto Calvo,AL,Costa dos Corais,D,11.0,2,5.5,0.0,0.0,0.0,0.0,12963.63,27165
2709400,Viçosa,AL,Quilombos,D,7.0,2,3.5,0.0,36106.0,36106.0,0.0,16342.68,25733
2901304,Andaraí,BA,Chapada Diamantina,D,19.0,3,6.33,1691.0,4326.0,6017.0,0.0,8416.2,13143
2909901,Curaçá,BA,Vale do São Francisco,D,1.0,1,1.0,265.0,10601.0,10866.0,0.0,9125.15,34700
2915007,Itaeté,BA,Chapada Diamantina,D,1.0,1,1.0,0.0,14505.0,14505.0,0.0,6447.73,16056
3100609,Água Boa,MG,Pedras Preciosas,D,2.0,1,2.0,0.0,2624.0,2624.0,0.0,10674.01,13735
3107505,Bom Jardim de Minas,MG,Serras de Ibitipoca,D,9.0,3,3.0,120.0,0.0,120.0,0.0,17656.73,6474
3114907,Casa Grande,MG,Villas e Fazendas de Minas,D,41.0,3,13.67,0.0,0.0,0.0,0.0,21231.85,2257
3116605,Cláudio,MG,Campo das Vertentes,D,8.0,3,2.67,0.0,6033.0,6033.0,0.0,27338.9,28617
3117900,Congonhal,MG,Serras Verdes do Sul de Minas,D,3.0,2,1.5,0.0,0.0,0.0,0.0,17287.47,11950
3119708,Coronel Xavier Chaves,MG,Trilha dos Inconfidentes,D,2.0,1,2.0,0.0,0.0,0.0,0.0,14522.35,3434
3123007,Dores de Campos,MG,Trilha dos Inconfidentes,D,2.0,1,2.0,0.0,7494.0,7494.0,0.0,30064.38,10153
3124708,Estrela do Indaiá,MG,Lago de Três Marias,D,0.0,0,,116.0,2624.0,2740.0,0.0,28727.6,3500
3125408,Felício dos Santos,MG,Diamantes,D,0.0,0,,0.0,2624.0,2624.0,0.0,9911.7,4753
3203304,Mantenópolis,ES,Doce Pontões Capixaba,D,8.0,1,8.0,413.0,10472.0,10885.0,0.0,9789.94,15350
3203346,Marechal Floriano,ES,Montanhas Capixabas,D,14.0,4,3.5,0.0,4988.0,4988.0,0.0,23913.14,16694
3203403,Mimoso do Sul,ES,Vales e do Café,D,9.0,2,4.5,130.0,14987.0,15117.0,0.0,17219.76,26153
3203502,Montanha,ES,Doce Terra Morena,D,17.0,3,5.67,121.0,10562.0,10683.0,0.0,18125.28,18833
